Date,Pattern,Signal
2020-04-09,CDLENGULFING,-100
2020-04-10,CDLSHORTLINE,-100
2020-04-10,CDL3OUTSIDE,-100
2020-04-13,CDLMARUBOZU,100
2020-04-13,CDLLONGLINE,100
2020-04-13,CDLCLOSINGMARUBOZU,100
2020-04-13,CDLBELTHOLD,100
2020-04-14,CDLLONGLEGGEDDOJI,100
2020-04-14,CDLSHORTLINE,100
2020-04-14,CDLGRAVESTONEDOJI,100
2020-04-14,CDLDOJI,100
2020-04-14,CDLHARAMI,-100
2020-04-14,CDLHARAMICROSS,-100
2020-04-15,CDLHIKKAKE,-100
2020-04-15,CDLBELTHOLD,100
2020-04-16,CDLSPINNINGTOP,-100
2020-04-20,CDLBELTHOLD,-100
2020-04-21,CDLBELTHOLD,-100
2020-04-22,CDLDOJISTAR,100
2020-04-22,CDLDOJI,100
2020-04-22,CDLSPINNINGTOP,-100
2020-04-22,CDLHIGHWAVE,-100
2020-04-22,CDLLONGLEGGEDDOJI,100
2020-04-23,CDLDOJI,100
2020-04-23,CDLSHORTLINE,100
2020-04-24,CDLDOJI,100
2020-04-24,CDLSHORTLINE,100
2020-04-27,CDLDOJI,100
2020-04-27,CDLSHORTLINE,100
2020-04-28,CDLDOJI,100
2020-04-28,CDLSHORTLINE,100
2020-04-29,CDLDOJI,100
2020-04-29,CDLSHORTLINE,100
2020-04-30,CDLDOJI,100
2020-04-30,CDLSHORTLINE,100
2020-05-04,CDLSHORTLINE,100
2020-05-04,CDLDOJI,100
2020-05-05,CDLDOJI,100
2020-05-05,CDLSHORTLINE,100
2020-05-06,CDLDOJI,100
2020-05-06,CDLSHORTLINE,100
2020-05-07,CDLDOJI,100
2020-05-07,CDLSHORTLINE,100
2020-05-08,CDLDOJI,100
2020-05-11,CDLDOJI,100
2020-05-12,CDLDOJI,100
2020-05-13,CDLDOJI,100
2020-05-14,CDLDOJI,100
2020-05-15,CDLDOJI,100
2020-05-18,CDLDOJI,100
2020-05-19,CDLDOJI,100
2020-05-20,CDLDOJI,100
2020-05-21,CDLDOJI,100
2020-05-22,CDLDOJI,100
2020-05-25,CDLDOJI,100
2020-05-26,CDLDOJI,100
2020-05-27,CDLDOJI,100
2020-05-28,CDLDOJI,100
2020-05-29,CDLDOJI,100
2020-06-01,CDLDOJI,100
2020-06-02,CDLDOJI,100
2020-06-03,CDLDOJI,100
2020-06-04,CDLDOJI,100
2020-06-05,CDLDOJI,100
2020-06-08,CDLDOJI,100
2020-06-09,CDLDOJI,100
2020-06-10,CDLDOJI,100
2020-06-11,CDLDOJI,100
2020-06-12,CDLDOJI,100
2020-06-15,CDLDOJI,100
2020-06-16,CDLDOJI,100
2020-06-17,CDLDOJI,100
2020-06-18,CDLDOJI,100
2020-06-19,CDLDOJI,100
2020-06-22,CDLDOJI,100
2020-06-23,CDLDOJI,100
2020-06-24,CDLDOJI,100
2020-06-29,CDLDOJI,100
2020-06-30,CDLDOJI,100
2020-07-01,CDLDOJI,100
2020-07-02,CDLDOJI,100
2020-07-03,CDLDOJI,100
2020-07-06,CDLDOJI,100
2020-07-07,CDLDOJI,100
2020-07-08,CDLDOJI,100
2020-07-09,CDLDOJI,100
2020-07-10,CDLDOJI,100
2020-07-13,CDLDOJI,100
2020-07-14,CDLDOJI,100
2020-07-15,CDLDOJI,100
2020-07-16,CDLDOJI,100
2020-07-17,CDLDOJI,100
2020-07-20,CDLDOJI,100
2020-07-21,CDLDOJI,100
2020-07-22,CDLDOJI,100
2020-07-23,CDLDOJI,100
2020-07-24,CDLDOJI,100
2020-07-28,CDLBELTHOLD,-100
2020-07-29,CDLBELTHOLD,-100
2020-07-29,CDLMARUBOZU,-100
