Date,Pattern,Signal
2000-01-10,CDLENGULFING,-100
2000-01-12,CDLENGULFING,-100
2000-01-14,CDLHIKKAKE,-100
2000-01-18,CDLENGULFING,-100
2000-01-18,CDLCLOSINGMARUBOZU,-100
2000-01-19,CDLDOJI,100
2000-01-19,CDLGRAVESTONEDOJI,100
2000-01-19,CDLLONGLEGGEDDOJI,100
2000-01-20,CDLBELTHOLD,-100
2000-01-20,CDLENGULFING,-100
2000-01-21,CDL3OUTSIDE,-100
2000-01-27,CDLCLOSINGMARUBOZU,100
2000-01-27,CDLLONGLINE,100
2000-01-28,CDLBELTHOLD,-100
2000-01-31,CDLINVERTEDHAMMER,100
2000-02-01,CDLSPINNINGTOP,100
2000-02-02,CDLSHORTLINE,100
2000-02-02,CDLDOJI,100
2000-02-03,CDLDOJI,100
2000-02-03,CDLSHORTLINE,100
2000-02-04,CDLSHORTLINE,100
2000-02-04,CDLDOJI,100
2000-02-07,CDLSHORTLINE,100
2000-02-07,CDLDOJI,100
2000-02-08,CDLDOJI,100
2000-02-08,CDLSHORTLINE,100
2000-02-09,CDLCLOSINGMARUBOZU,100
2000-02-10,CDLCLOSINGMARUBOZU,100
2000-02-14,CDL2CROWS,-100
2000-02-15,CDLHIKKAKE,100
2000-02-16,CDLBELTHOLD,100
2000-02-17,CDLHIKKAKE,-100
2000-02-18,CDLENGULFING,-100
2000-02-18,CDLBELTHOLD,-100
2000-02-21,CDLSHORTLINE,100
2000-02-21,CDLDOJI,100
2000-02-22,CDLENGULFING,-100
2000-02-22,CDLBELTHOLD,-100
2000-02-23,CDL3OUTSIDE,-100
2000-02-23,CDLINVERTEDHAMMER,100
2000-02-24,CDLENGULFING,-100
2000-02-24,CDLCLOSINGMARUBOZU,-100
2000-02-24,CDLLONGLINE,-100
2000-02-24,CDLHIKKAKE,100
2000-02-25,CDL3OUTSIDE,-100
2000-02-28,CDLSHORTLINE,100
2000-02-28,CDLDOJI,100
2000-02-29,CDLCLOSINGMARUBOZU,-100
2000-03-01,CDLHARAMI,100
2000-03-02,CDLHIKKAKE,-100
2000-03-06,CDLSHORTLINE,-100
2000-03-06,CDLHIKKAKE,-200
2000-03-08,CDLSPINNINGTOP,100
2000-03-08,CDLDOJI,100
2000-03-08,CDLHIGHWAVE,100
2000-03-08,CDLLONGLEGGEDDOJI,100
2000-03-08,CDLRICKSHAWMAN,100
2000-03-09,CDLSHORTLINE,-100
2000-03-10,CDLLONGLINE,-100
2000-03-10,CDLCLOSINGMARUBOZU,-100
2000-03-13,CDLCLOSINGMARUBOZU,-100
2000-03-13,CDLBELTHOLD,-100
2000-03-13,CDLMARUBOZU,-100
2000-03-13,CDL3BLACKCROWS,-100
