Date,Pattern,Signal
2017-04-07,CDLGRAVESTONEDOJI,100
2017-04-07,CDLLONGLEGGEDDOJI,100
2017-04-07,CDLDOJI,100
2017-04-07,CDLHIKKAKE,100
2017-04-10,CDLDOJI,100
2017-04-10,CDLGAPSIDESIDEWHITE,-100
2017-04-10,CDLRICKSHAWMAN,100
2017-04-10,CDLLONGLEGGEDDOJI,100
2017-04-11,CDLLONGLEGGEDDOJI,100
2017-04-11,CDLDOJI,100
2017-04-12,CDLLONGLEGGEDDOJI,100
2017-04-12,CDLDOJI,100
2017-04-12,CDLTRISTAR,-100
2017-04-13,CDLLONGLEGGEDDOJI,100
2017-04-13,CDLDRAGONFLYDOJI,100
2017-04-13,CDLDOJI,100
2017-04-13,CDLGAPSIDESIDEWHITE,-100
2017-04-13,CDLRICKSHAWMAN,100
2017-04-13,CDLTAKURI,100
2017-04-13,CDLTRISTAR,100
2017-04-14,CDLHIKKAKE,-100
2017-04-14,CDLDOJI,100
2017-04-14,CDLGRAVESTONEDOJI,100
2017-04-14,CDLLONGLEGGEDDOJI,100
2017-04-14,CDLGAPSIDESIDEWHITE,100
2017-04-17,CDLTAKURI,100
2017-04-17,CDLLONGLEGGEDDOJI,100
2017-04-17,CDLDRAGONFLYDOJI,100
2017-04-17,CDLDOJI,100
2017-04-18,CDLLONGLEGGEDDOJI,100
2017-04-18,CDLRICKSHAWMAN,100
2017-04-18,CDLDOJI,100
2017-04-19,CDLTAKURI,100
2017-04-19,CDLDOJI,100
2017-04-19,CDLLONGLEGGEDDOJI,100
2017-04-19,CDLDRAGONFLYDOJI,100
2017-04-20,CDLGRAVESTONEDOJI,100
2017-04-20,CDLTRISTAR,-100
2017-04-20,CDLLONGLEGGEDDOJI,100
2017-04-20,CDLDOJI,100
2017-04-21,CDLLONGLEGGEDDOJI,100
2017-04-21,CDLHIKKAKE,100
2017-04-21,CDLDOJI,100
2017-04-21,CDLGRAVESTONEDOJI,100
2017-04-21,CDLRICKSHAWMAN,100
2017-04-24,CDLRICKSHAWMAN,100
2017-04-24,CDLLONGLEGGEDDOJI,100
2017-04-24,CDLDOJI,100
2017-04-25,CDLDOJI,100
2017-04-25,CDLTRISTAR,100
2017-04-25,CDLLONGLEGGEDDOJI,100
2017-04-25,CDLRICKSHAWMAN,100
2017-04-26,CDLDOJI,100
2017-04-26,CDLRICKSHAWMAN,100
2017-04-26,CDLLONGLEGGEDDOJI,100
2017-04-27,CDLDOJI,100
2017-04-27,CDLTRISTAR,-100
2017-04-27,CDLLONGLEGGEDDOJI,100
2017-04-28,CDLLONGLEGGEDDOJI,100
2017-04-28,CDLRICKSHAWMAN,100
2017-04-28,CDLTRISTAR,100
2017-04-28,CDLDOJI,100
2017-05-02,CDLHIKKAKE,-100
2017-05-02,CDLLONGLEGGEDDOJI,100
2017-05-02,CDLDOJI,100
2017-05-02,CDLDRAGONFLYDOJI,100
2017-05-02,CDLRICKSHAWMAN,100
2017-05-02,CDLTAKURI,100
2017-05-03,CDLLONGLEGGEDDOJI,100
2017-05-03,CDLDOJI,100
2017-05-03,CDLTRISTAR,-100
2017-05-03,CDLGRAVESTONEDOJI,100
2017-05-04,CDLGAPSIDESIDEWHITE,-100
2017-05-04,CDLDOJI,100
2017-05-05,CDLLONGLEGGEDDOJI,100
2017-05-05,CDLDOJI,100
2017-05-08,CDLTRISTAR,-100
2017-05-08,CDLDOJI,100
2017-05-08,CDLLONGLEGGEDDOJI,100
2017-05-09,CDLLONGLEGGEDDOJI,100
2017-05-09,CDLTRISTAR,100
2017-05-09,CDLDOJI,100
