Date,Pattern,Signal
2022-02-09,CDLHIKKAKE,-100
2022-02-14,CDLHIKKAKE,-200
2022-02-14,CDLHIGHWAVE,-100
2022-02-14,CDLSPINNINGTOP,-100
2022-02-16,CDLMARUBOZU,-100
2022-02-16,CDLLONGLINE,-100
2022-02-16,CDLBELTHOLD,-100
2022-02-16,CDLCLOSINGMARUBOZU,-100
2022-02-17,CDLHOMINGPIGEON,100
2022-02-17,CDLHARAMI,100
2022-02-18,CDLLONGLEGGEDDOJI,100
2022-02-18,CDLRICKSHAWMAN,100
2022-02-18,CDLHIGHWAVE,100
2022-02-18,CDLDOJI,100
2022-02-18,CDLSPINNINGTOP,100
2022-02-21,CDLSPINNINGTOP,-100
2022-02-21,CDLSHORTLINE,-100
2022-02-21,CDLHIGHWAVE,-100
2022-02-22,CDLSPINNINGTOP,-100
2022-02-22,CDLHIGHWAVE,-100
2022-02-22,CDLSHORTLINE,-100
2022-02-23,CDLLONGLINE,100
2022-02-25,CDLCLOSINGMARUBOZU,100
2022-02-25,CDLLONGLINE,100
2022-03-01,CDLHIKKAKE,-100
2022-03-03,CDLHARAMI,-100
2022-03-03,CDLSPINNINGTOP,100
2022-03-03,CDLSHORTLINE,100
2022-03-03,CDLHIGHWAVE,100
2022-03-04,CDL3INSIDE,-100
2022-03-04,CDLSEPARATINGLINES,-100
2022-03-04,CDLBELTHOLD,-100
2022-03-04,CDLLONGLINE,-100
2022-03-04,CDLHIKKAKE,100
2022-03-07,CDLBELTHOLD,-100
2022-03-09,CDLBELTHOLD,100
2022-03-10,CDLSHORTLINE,100
2022-03-11,CDLLONGLINE,100
2022-03-11,CDLCLOSINGMARUBOZU,100
2022-03-11,CDLBELTHOLD,100
2022-03-11,CDLMARUBOZU,100
2022-03-14,CDLHANGINGMAN,-100
2022-03-15,CDLBELTHOLD,-100
2022-03-17,CDLSPINNINGTOP,-100
2022-03-17,CDLHIGHWAVE,-100
2022-03-17,CDLSHORTLINE,-100
2022-03-18,CDLSPINNINGTOP,100
2022-03-21,CDLLONGLINE,100
2022-03-22,CDLHIGHWAVE,100
2022-03-22,CDLSPINNINGTOP,100
2022-03-22,CDLLONGLEGGEDDOJI,100
2022-03-22,CDLRICKSHAWMAN,100
2022-03-22,CDLDOJI,100
2022-03-23,CDLSHORTLINE,100
2022-03-24,CDLHANGINGMAN,-100
2022-03-25,CDLMATCHINGLOW,100
2022-03-28,CDLLONGLEGGEDDOJI,100
2022-03-28,CDLHIGHWAVE,100
2022-03-28,CDLSPINNINGTOP,100
2022-03-28,CDLDOJI,100
2022-03-30,CDLSHORTLINE,-100
2022-03-31,CDLSHORTLINE,100
2022-03-31,CDLHIKKAKE,100
2022-04-01,CDLLONGLINE,-100
2022-04-01,CDLMARUBOZU,-100
2022-04-01,CDLCLOSINGMARUBOZU,-100
2022-04-01,CDLBELTHOLD,-100
2022-04-01,CDLENGULFING,-100
2022-04-07,CDLSPINNINGTOP,100
2022-04-07,CDLHIGHWAVE,100
2022-04-07,CDLDOJI,100
2022-04-07,CDLDOJISTAR,-100
2022-04-07,CDLLONGLEGGEDDOJI,100
2022-04-08,CDLEVENINGSTAR,-100
2022-04-08,CDLEVENINGDOJISTAR,-100
2022-04-08,CDLENGULFING,-100
2022-04-08,CDLBELTHOLD,-100
2022-04-08,CDLLONGLINE,-100
2022-04-11,CDL3OUTSIDE,-100
2022-04-12,CDLBELTHOLD,-100
2022-04-14,CDLLADDERBOTTOM,100
2022-04-14,CDLHIKKAKE,-100
2022-04-18,CDLBELTHOLD,100
2022-04-19,CDLBELTHOLD,-100
2022-04-19,CDLCOUNTERATTACK,-100
