Date,Pattern,Signal
2019-12-17,CDLHIKKAKE,-100
2019-12-19,CDLHIKKAKE,100
2019-12-19,CDLSHORTLINE,-100
2019-12-20,CDLSHORTLINE,-100
2019-12-20,CDLDOJI,100
2019-12-20,CDLGRAVESTONEDOJI,100
2019-12-20,CDLLONGLEGGEDDOJI,100
2019-12-23,CDLGRAVESTONEDOJI,100
2019-12-23,CDLSHORTLINE,100
2019-12-23,CDLLONGLEGGEDDOJI,100
2019-12-23,CDLDOJI,100
2019-12-24,CDLSHORTLINE,-100
2019-12-25,CDLSHORTLINE,100
2019-12-26,CDLHIKKAKE,100
2019-12-26,CDLSHORTLINE,-100
2019-12-30,CDLBELTHOLD,100
2019-12-30,CDLCLOSINGMARUBOZU,100
2019-12-30,CDLMARUBOZU,100
2019-12-30,CDLLONGLINE,100
2019-12-31,CDLSHORTLINE,-100
2020-01-03,CDLBELTHOLD,-100
2020-01-06,CDLBELTHOLD,-100
2020-01-07,CDLBELTHOLD,100
2020-01-08,CDLHARAMI,-100
2020-01-08,CDLSPINNINGTOP,-100
2020-01-09,CDLHIKKAKEMOD,-100
2020-01-09,CDLCLOSINGMARUBOZU,100
2020-01-09,CDLHIKKAKE,-100
2020-01-09,CDLBELTHOLD,100
2020-01-09,CDLMARUBOZU,100
2020-01-09,CDLLONGLINE,100
2020-01-10,CDLSHORTLINE,-100
2020-01-10,CDLHARAMI,-100
2020-01-13,CDLHIKKAKE,100
2020-01-15,CDLBELTHOLD,100
2020-01-17,CDLSHORTLINE,-100
2020-01-20,CDLMARUBOZU,100
2020-01-20,CDLBELTHOLD,100
2020-01-20,CDLCLOSINGMARUBOZU,100
2020-01-20,CDLSEPARATINGLINES,100
2020-01-20,CDLLONGLINE,100
2020-01-30,CDLBELTHOLD,-100
2020-01-31,CDLLONGLINE,100
2020-01-31,CDLBELTHOLD,100
2020-01-31,CDLCLOSINGMARUBOZU,100
2020-01-31,CDLMARUBOZU,100
2020-02-03,CDLHARAMI,-100
2020-02-03,CDLDOJI,100
2020-02-03,CDLDRAGONFLYDOJI,100
2020-02-03,CDLLONGLEGGEDDOJI,100
2020-02-03,CDLTAKURI,100
2020-02-03,CDLHARAMICROSS,-100
2020-02-04,CDLENGULFING,-100
2020-02-04,CDLCLOSINGMARUBOZU,-100
2020-02-05,CDL3OUTSIDE,-100
2020-02-05,CDLSHORTLINE,-100
2020-02-06,CDLHAMMER,100
2020-02-06,CDLDRAGONFLYDOJI,100
2020-02-06,CDLLONGLEGGEDDOJI,100
2020-02-06,CDLDOJI,100
2020-02-06,CDLTAKURI,100
2020-02-11,CDLDOJI,100
2020-02-11,CDLLONGLEGGEDDOJI,100
2020-02-11,CDLGRAVESTONEDOJI,100
2020-02-12,CDLHIKKAKE,-100
2020-02-12,CDLSHOOTINGSTAR,-100
2020-02-12,CDLLONGLEGGEDDOJI,100
2020-02-12,CDLGRAVESTONEDOJI,100
2020-02-12,CDLDOJI,100
2020-02-12,CDLSHORTLINE,100
2020-02-13,CDLSHORTLINE,-100
2020-02-14,CDLSHORTLINE,100
2020-02-17,CDLHIKKAKE,-200
2020-02-18,CDLMATCHINGLOW,100
2020-02-18,CDLSHORTLINE,-100
2020-02-19,CDLRICKSHAWMAN,100
2020-02-19,CDLHIKKAKE,-100
2020-02-19,CDLSPINNINGTOP,100
2020-02-19,CDLLONGLEGGEDDOJI,100
2020-02-19,CDLDOJI,100
2020-02-19,CDLHIGHWAVE,100
2020-02-21,CDLLONGLINE,-100
2020-02-21,CDLHIKKAKE,-200
2020-02-21,CDLBELTHOLD,-100
2020-02-24,CDLMARUBOZU,-100
2020-02-24,CDLCLOSINGMARUBOZU,-100
2020-02-24,CDLLONGLINE,-100
2020-02-24,CDLBELTHOLD,-100
2020-02-25,CDLSPINNINGTOP,-100
2020-02-26,CDLBELTHOLD,100
2020-02-27,CDLCLOSINGMARUBOZU,-100
2020-02-27,CDLLONGLINE,-100
2020-03-02,CDLTHRUSTING,-100
2020-03-03,CDLMARUBOZU,100
2020-03-03,CDLBELTHOLD,100
2020-03-03,CDLLONGLINE,100
2020-03-03,CDLCLOSINGMARUBOZU,100
2020-03-04,CDLTAKURI,100
2020-03-04,CDLDOJI,100
2020-03-04,CDLHANGINGMAN,-100
2020-03-04,CDLDRAGONFLYDOJI,100
2020-03-04,CDLLONGLEGGEDDOJI,100
2020-03-04,CDLDOJISTAR,-100
2020-03-05,CDLBELTHOLD,100
2020-03-06,CDLHARAMI,-100
2020-03-09,CDLHIKKAKE,100
2020-03-09,CDLLONGLINE,-100
2020-03-09,CDL3INSIDE,-100
2020-03-09,CDLBELTHOLD,-100
2020-03-10,CDLLONGLINE,100
2020-03-10,CDLPIERCING,100
2020-03-10,CDLBELTHOLD,100
2020-03-10,CDLCLOSINGMARUBOZU,100
2020-03-10,CDLMARUBOZU,100
2020-03-11,CDLLONGLINE,-100
2020-03-11,CDLMARUBOZU,-100
2020-03-11,CDLBELTHOLD,-100
2020-03-11,CDLCLOSINGMARUBOZU,-100
2020-03-12,CDLHAMMER,100
2020-03-13,CDLDRAGONFLYDOJI,100
2020-03-13,CDLTAKURI,100
2020-03-13,CDLDOJI,100
2020-03-13,CDLHAMMER,100
2020-03-13,CDLLONGLEGGEDDOJI,100
2020-03-16,CDLCLOSINGMARUBOZU,-100
2020-03-17,CDLMARUBOZU,-100
2020-03-17,CDLBELTHOLD,-100
2020-03-17,CDLCLOSINGMARUBOZU,-100
2020-03-17,CDLLONGLINE,-100
2020-03-18,CDLHAMMER,100
2020-03-19,CDLBELTHOLD,-100
2020-03-19,CDLMARUBOZU,-100
2020-03-19,CDLCLOSINGMARUBOZU,-100
2020-03-19,CDLLONGLINE,-100
2020-03-20,CDLHARAMICROSS,100
2020-03-20,CDLDOJI,100
2020-03-20,CDLHARAMI,100
2020-03-20,CDLHOMINGPIGEON,100
2020-03-20,CDLLONGLEGGEDDOJI,100
2020-03-20,CDLSPINNINGTOP,-100
2020-03-23,CDLCLOSINGMARUBOZU,-100
2020-03-23,CDLLONGLINE,-100
2020-03-23,CDLMARUBOZU,-100
2020-03-23,CDLBELTHOLD,-100
2020-03-24,CDLPIERCING,100
2020-03-24,CDLLONGLINE,100
2020-03-24,CDLMARUBOZU,100
2020-03-24,CDLBELTHOLD,100
2020-03-24,CDLCLOSINGMARUBOZU,100
2020-03-25,CDLSHORTLINE,100
2020-03-26,CDLHANGINGMAN,-100
2020-03-26,CDLDRAGONFLYDOJI,100
2020-03-26,CDLDOJI,100
2020-03-26,CDLLONGLEGGEDDOJI,100
2020-03-26,CDLTAKURI,100
2020-03-27,CDLHANGINGMAN,-100
2020-03-30,CDLSHORTLINE,100
2020-03-31,CDLDOJI,100
2020-03-31,CDLTAKURI,100
2020-03-31,CDLDRAGONFLYDOJI,100
2020-03-31,CDLLONGLEGGEDDOJI,100
2020-03-31,CDLHANGINGMAN,-100
2020-04-01,CDLSHORTLINE,-100
