Date,Pattern,Signal
2020-12-17,CDLHIKKAKE,-100
2020-12-21,CDLSHORTLINE,-100
2020-12-21,CDLSPINNINGTOP,-100
2020-12-22,CDLSHORTLINE,-100
2020-12-23,CDLSHORTLINE,100
2020-12-24,CDLGRAVESTONEDOJI,100
2020-12-24,CDLSHORTLINE,-100
2020-12-24,CDLDOJI,100
2020-12-24,CDLLONGLEGGEDDOJI,100
2020-12-25,CDLSHORTLINE,-100
2020-12-28,CDLRICKSHAWMAN,100
2020-12-28,CDLDOJI,100
2020-12-28,CDLSPINNINGTOP,100
2020-12-28,CDLLONGLEGGEDDOJI,100
2020-12-28,CDLHIGHWAVE,100
2020-12-29,CDLSHORTLINE,-100
2020-12-30,CDLGRAVESTONEDOJI,100
2020-12-30,CDLDOJI,100
2020-12-30,CDLLONGLEGGEDDOJI,100
2020-12-31,CDLHIGHWAVE,100
2020-12-31,CDLLONGLEGGEDDOJI,100
2020-12-31,CDLGRAVESTONEDOJI,100
2020-12-31,CDLDOJI,100
2020-12-31,CDLSPINNINGTOP,100
2021-01-04,CDLSHORTLINE,100
2021-01-04,CDLRICKSHAWMAN,100
2021-01-04,CDLGRAVESTONEDOJI,100
2021-01-04,CDLLONGLEGGEDDOJI,100
2021-01-04,CDLDOJI,100
2021-01-04,CDLHIGHWAVE,100
2021-01-04,CDLSPINNINGTOP,100
2021-01-05,CDLSHORTLINE,-100
2021-01-05,CDLENGULFING,-100
2021-01-06,CDLMATCHINGLOW,100
2021-01-08,CDLLONGLINE,100
2021-01-08,CDLBELTHOLD,100
2021-01-11,CDLHIKKAKE,100
2021-01-11,CDLSHORTLINE,-100
2021-01-12,CDLDOJI,100
2021-01-12,CDLLONGLEGGEDDOJI,100
2021-01-12,CDLGRAVESTONEDOJI,100
2021-01-13,CDLDOJI,100
2021-01-13,CDLRICKSHAWMAN,100
2021-01-13,CDLHIGHWAVE,-100
2021-01-13,CDLLONGLEGGEDDOJI,100
2021-01-13,CDLSHORTLINE,-100
2021-01-13,CDLSPINNINGTOP,-100
2021-01-14,CDLDOJI,100
2021-01-14,CDLTRISTAR,-100
2021-01-14,CDLGRAVESTONEDOJI,100
2021-01-14,CDLINVERTEDHAMMER,100
2021-01-14,CDLSHORTLINE,100
2021-01-14,CDLLONGLEGGEDDOJI,100
2021-01-14,CDLHIGHWAVE,100
2021-01-14,CDLSPINNINGTOP,100
2021-01-19,CDLBELTHOLD,-100
2021-01-19,CDLMARUBOZU,-100
2021-01-19,CDLCLOSINGMARUBOZU,-100
2021-01-19,CDLLONGLINE,-100
2021-01-21,CDLBELTHOLD,100
2021-01-22,CDLHIKKAKE,-100
2021-01-22,CDLBELTHOLD,100
2021-01-25,CDLBELTHOLD,-100
2021-01-26,CDLHIKKAKE,100
2021-01-26,CDLLONGLINE,-100
2021-01-26,CDLCLOSINGMARUBOZU,-100
2021-02-01,CDLHAMMER,100
2021-02-02,CDLSHORTLINE,-100
2021-02-02,CDLMATCHINGLOW,100
2021-02-03,CDLSHORTLINE,-100
2021-02-03,CDLMATCHINGLOW,100
2021-02-04,CDLCLOSINGMARUBOZU,100
2021-02-04,CDLLONGLINE,100
2021-02-05,CDLBELTHOLD,100
2021-02-17,CDLADVANCEBLOCK,-100
2021-02-18,CDLSPINNINGTOP,100
2021-02-22,CDLLONGLINE,100
2021-02-22,CDLBELTHOLD,100
2021-02-24,CDLRICKSHAWMAN,100
2021-02-24,CDLDOJI,100
2021-02-24,CDLHARAMICROSS,100
2021-02-24,CDLHIGHWAVE,-100
2021-02-24,CDLHOMINGPIGEON,100
2021-02-24,CDLLONGLEGGEDDOJI,100
2021-02-24,CDLSPINNINGTOP,-100
2021-02-24,CDLHARAMI,100
2021-02-25,CDLHIKKAKE,-100
2021-02-25,CDLHIGHWAVE,-100
2021-02-25,CDLDOJI,100
2021-02-25,CDLLONGLEGGEDDOJI,100
2021-02-25,CDLSPINNINGTOP,-100
2021-02-25,CDLMATCHINGLOW,100
2021-02-25,CDLRICKSHAWMAN,100
2021-02-26,CDLSHORTLINE,-100
2021-02-26,CDLHIKKAKE,-200
2021-03-02,CDLSHORTLINE,-100
2021-03-03,CDLDRAGONFLYDOJI,100
2021-03-03,CDLRICKSHAWMAN,100
2021-03-03,CDLDOJI,100
2021-03-03,CDLTAKURI,100
2021-03-03,CDLSPINNINGTOP,-100
2021-03-03,CDLLONGLEGGEDDOJI,100
2021-03-03,CDLMATCHINGLOW,100
2021-03-03,CDLSHORTLINE,-100
2021-03-03,CDLHAMMER,100
2021-03-04,CDLSHORTLINE,-100
2021-03-05,CDLRICKSHAWMAN,100
2021-03-05,CDLDOJI,100
2021-03-05,CDLLONGLEGGEDDOJI,100
2021-03-05,CDLSPINNINGTOP,-100
2021-03-05,CDLSHORTLINE,-100
2021-03-08,CDLSPINNINGTOP,100
2021-03-10,CDLHIKKAKE,-100
2021-03-10,CDLBELTHOLD,100
2021-03-11,CDLCLOSINGMARUBOZU,100
2021-03-11,CDLMARUBOZU,100
2021-03-11,CDLBELTHOLD,100
2021-03-11,CDLLONGLINE,100
2021-03-12,CDLSTALLEDPATTERN,-100
2021-03-12,CDLHIKKAKE,-100
2021-03-12,CDLSPINNINGTOP,100
2021-03-15,CDLCLOSINGMARUBOZU,100
2021-03-15,CDLLONGLINE,100
2021-03-18,CDLSHORTLINE,-100
2021-03-24,CDLHIKKAKE,-100
2021-03-24,CDLSHORTLINE,-100
2021-03-26,CDLSPINNINGTOP,100
2021-03-29,CDLSHOOTINGSTAR,-100
2021-03-30,CDLRICKSHAWMAN,100
2021-03-30,CDLDOJI,100
2021-03-30,CDLHIGHWAVE,100
2021-03-30,CDLSPINNINGTOP,100
2021-03-30,CDLLONGLEGGEDDOJI,100
2021-03-31,CDLCLOSINGMARUBOZU,100
2021-04-01,CDLBELTHOLD,100
2021-04-09,CDLHIKKAKE,100
2021-04-12,CDLBELTHOLD,100
2021-04-14,CDLHIKKAKE,100
2021-04-14,CDLBELTHOLD,-100
2021-04-15,CDLHIGHWAVE,100
2021-04-15,CDLLONGLEGGEDDOJI,100
2021-04-15,CDLDOJI,100
2021-04-15,CDLHARAMICROSS,100
2021-04-15,CDLRICKSHAWMAN,100
2021-04-15,CDLHARAMI,100
2021-04-15,CDLSHORTLINE,100
2021-04-15,CDLSPINNINGTOP,100
2021-04-16,CDLSHOOTINGSTAR,-100
2021-04-16,CDLHIKKAKE,-100
2021-04-16,CDLLONGLEGGEDDOJI,100
2021-04-16,CDLGRAVESTONEDOJI,100
2021-04-16,CDLHIGHWAVE,100
2021-04-16,CDLDOJI,100
2021-04-16,CDLSPINNINGTOP,100
2021-04-19,CDLSHORTLINE,100
2021-04-19,CDLSPINNINGTOP,100
2021-04-19,CDLLONGLEGGEDDOJI,100
2021-04-19,CDLHIGHWAVE,100
2021-04-19,CDLRICKSHAWMAN,100
2021-04-19,CDLDOJI,100
2021-04-21,CDLBELTHOLD,-100
2021-04-21,CDLLONGLINE,-100
2021-04-22,CDLSHORTLINE,-100
