Date,Pattern,Signal
2000-01-13,CDLHIKKAKE,-100
2000-01-14,CDLMATCHINGLOW,100
2000-01-19,CDLCLOSINGMARUBOZU,-100
2000-01-20,CDLMATCHINGLOW,100
2000-01-20,CDLSHORTLINE,-100
2000-01-21,CDLLONGLINE,100
2000-01-24,CDLSHORTLINE,-100
2000-01-25,CDLSHORTLINE,-100
2000-01-26,CDLSPINNINGTOP,100
2000-01-28,CDLBELTHOLD,100
2000-01-31,CDLINVERTEDHAMMER,100
2000-02-01,CDLCLOSINGMARUBOZU,-100
2000-02-01,CDLBELTHOLD,-100
2000-02-01,CDLMARUBOZU,-100
2000-02-01,CDLLONGLINE,-100
2000-02-02,CDLDOJI,100
2000-02-02,CDLSHORTLINE,100
2000-02-03,CDLDOJI,100
2000-02-03,CDLSHORTLINE,100
2000-02-04,CDLDOJI,100
2000-02-04,CDLSHORTLINE,100
2000-02-07,CDLDOJI,100
2000-02-07,CDLSHORTLINE,100
2000-02-08,CDLDOJI,100
2000-02-08,CDLSHORTLINE,100
2000-02-11,CDLMATCHINGLOW,100
2000-02-11,CDLSPINNINGTOP,-100
2000-02-16,CDLCLOSINGMARUBOZU,100
2000-02-18,CDLLONGLINE,-100
2000-02-22,CDLCLOSINGMARUBOZU,100
2000-02-23,CDLCLOSINGMARUBOZU,-100
2000-02-23,CDLLONGLINE,-100
2000-02-23,CDLBELTHOLD,-100
2000-02-23,CDLMARUBOZU,-100
2000-02-24,CDLINNECK,-100
2000-02-24,CDLDOJI,100
2000-02-24,CDLLONGLEGGEDDOJI,100
2000-02-24,CDLHIGHWAVE,100
2000-02-24,CDLSPINNINGTOP,100
2000-02-24,CDLONNECK,-100
2000-02-25,CDLENGULFING,-100
2000-02-25,CDLLONGLINE,-100
2000-02-28,CDLSHORTLINE,100
2000-02-28,CDLDOJI,100
2000-02-29,CDLENGULFING,-100
2000-02-29,CDLLONGLINE,-100
2000-02-29,CDLBELTHOLD,-100
