Date,Pattern,Signal
2018-12-17,CDLENGULFING,100
2018-12-19,CDLHIKKAKE,100
2018-12-25,CDLLONGLEGGEDDOJI,100
2018-12-25,CDLSPINNINGTOP,100
2018-12-25,CDLHIGHWAVE,100
2018-12-25,CDLDOJI,100
2018-12-25,CDLDRAGONFLYDOJI,100
2018-12-25,CDLTAKURI,100
2018-12-26,CDLSHORTLINE,-100
2018-12-26,CDLHANGINGMAN,-100
2018-12-26,CDLENGULFING,-100
2018-12-28,CDLSHORTLINE,100
2019-01-03,CDLSHORTLINE,-100
2019-01-04,CDLHIKKAKE,100
2019-01-04,CDLHIGHWAVE,-100
2019-01-04,CDLRICKSHAWMAN,100
2019-01-04,CDLLONGLEGGEDDOJI,100
2019-01-04,CDLSPINNINGTOP,-100
2019-01-04,CDLDOJI,100
2019-01-07,CDLSHORTLINE,100
2019-01-08,CDLBELTHOLD,100
2019-01-08,CDLCLOSINGMARUBOZU,100
2019-01-08,CDLLONGLINE,100
2019-01-08,CDLMARUBOZU,100
2019-01-09,CDLBELTHOLD,100
2019-01-09,CDLCLOSINGMARUBOZU,100
2019-01-09,CDLLONGLINE,100
2019-01-09,CDLMARUBOZU,100
2019-01-10,CDLSHORTLINE,-100
2019-01-10,CDLHARAMI,-100
2019-01-11,CDLENGULFING,100
2019-01-14,CDL3OUTSIDE,100
2019-01-15,CDLSPINNINGTOP,100
2019-01-16,CDLLONGLINE,-100
2019-01-16,CDLMARUBOZU,-100
2019-01-16,CDLCLOSINGMARUBOZU,-100
2019-01-16,CDLBELTHOLD,-100
2019-01-17,CDLBELTHOLD,100
2019-01-17,CDLLONGLINE,100
2019-01-18,CDLHARAMI,-100
2019-01-21,CDLHIKKAKE,-100
2019-01-23,CDLSHORTLINE,100
2019-01-23,CDLDOJI,100
2019-01-24,CDLSHORTLINE,-100
2019-01-24,CDLHIKKAKE,-100
2019-01-25,CDLCLOSINGMARUBOZU,-100
2019-01-28,CDLSHORTLINE,-100
2019-01-30,CDLTAKURI,100
2019-01-30,CDLDRAGONFLYDOJI,100
2019-01-30,CDLLONGLEGGEDDOJI,100
2019-01-30,CDLDOJI,100
2019-02-11,CDLHANGINGMAN,-100
2019-02-12,CDLSPINNINGTOP,100
2019-02-13,CDLBELTHOLD,-100
2019-02-13,CDLLONGLINE,-100
2019-02-14,CDLLONGLINE,100
2019-02-14,CDLCLOSINGMARUBOZU,100
2019-02-15,CDLBELTHOLD,-100
2019-02-15,CDLMARUBOZU,-100
2019-02-15,CDLLONGLINE,-100
2019-02-15,CDLENGULFING,-100
2019-02-15,CDLCLOSINGMARUBOZU,-100
2019-02-19,CDLLONGLINE,100
2019-02-19,CDLCLOSINGMARUBOZU,100
2019-02-19,CDLMARUBOZU,100
2019-02-19,CDLBELTHOLD,100
2019-02-20,CDLBELTHOLD,100
2019-02-20,CDLHIKKAKE,-100
2019-02-21,CDLCLOSINGMARUBOZU,-100
2019-02-21,CDLCOUNTERATTACK,-100
2019-02-22,CDLHAMMER,100
2019-02-25,CDLSHORTLINE,100
2019-02-25,CDLDOJI,100
2019-02-26,CDLHIKKAKE,-100
2019-02-26,CDLSHORTLINE,-100
2019-02-27,CDLHAMMER,100
2019-03-04,CDLLONGLEGGEDDOJI,100
2019-03-04,CDLGRAVESTONEDOJI,100
2019-03-04,CDLDOJI,100
2019-03-05,CDLDOJI,100
2019-03-05,CDLLONGLEGGEDDOJI,100
2019-03-05,CDLINVERTEDHAMMER,100
2019-03-05,CDLGRAVESTONEDOJI,100
2019-03-05,CDLHIKKAKE,-200
2019-03-06,CDLSEPARATINGLINES,-100
2019-03-06,CDLBELTHOLD,-100
2019-03-06,CDLLONGLINE,-100
2019-03-08,CDLHARAMI,-100
2019-03-11,CDLMARUBOZU,100
2019-03-11,CDLHIKKAKE,-100
