Date,Pattern,Signal
2021-01-18,CDLENGULFING,-100
2021-01-19,CDL3OUTSIDE,-100
2021-01-26,CDLSHORTLINE,100
2021-01-28,CDLHAMMER,100
2021-01-28,CDLDOJI,100
2021-01-28,CDLLONGLEGGEDDOJI,100
2021-01-28,CDLTAKURI,100
2021-01-28,CDLDRAGONFLYDOJI,100
2021-01-29,CDLHANGINGMAN,-100
2021-01-29,CDLSHORTLINE,-100
2021-02-01,CDLLONGLEGGEDDOJI,100
2021-02-01,CDLSHORTLINE,100
2021-02-01,CDLDOJI,100
2021-02-01,CDLHANGINGMAN,-100
2021-02-01,CDLDRAGONFLYDOJI,100
2021-02-02,CDLMARUBOZU,100
2021-02-02,CDLBELTHOLD,100
2021-02-02,CDLCLOSINGMARUBOZU,100
2021-02-02,CDLLONGLINE,100
2021-02-03,CDLHARAMI,-100
2021-02-03,CDLGRAVESTONEDOJI,100
2021-02-03,CDLLONGLEGGEDDOJI,100
2021-02-03,CDLDOJI,100
2021-02-03,CDLRICKSHAWMAN,100
2021-02-03,CDLSPINNINGTOP,100
2021-02-03,CDLHARAMICROSS,-100
2021-02-04,CDLENGULFING,-100
2021-02-04,CDLHAMMER,100
2021-02-05,CDLMATCHINGLOW,100
2021-02-17,CDLHIKKAKE,-100
2021-02-18,CDLBELTHOLD,-100
2021-02-18,CDLHIKKAKE,-200
2021-02-19,CDLLONGLINE,-100
2021-02-19,CDLBELTHOLD,-100
2021-02-22,CDLHARAMI,100
2021-02-22,CDLSPINNINGTOP,100
2021-02-23,CDLSHORTLINE,-100
2021-02-24,CDLINVERTEDHAMMER,100
2021-02-24,CDLHIKKAKE,100
2021-02-25,CDLHANGINGMAN,-100
2021-02-26,CDLHIGHWAVE,-100
2021-02-26,CDLSPINNINGTOP,-100
2021-03-02,CDLLONGLEGGEDDOJI,100
2021-03-02,CDLDOJI,100
2021-03-02,CDLGRAVESTONEDOJI,100
2021-03-03,CDLBELTHOLD,100
2021-03-03,CDLENGULFING,100
2021-03-03,CDLLONGLINE,100
2021-03-05,CDLSHORTLINE,100
2021-03-09,CDLLONGLINE,-100
2021-03-09,CDLBELTHOLD,-100
2021-03-10,CDLMATCHINGLOW,100
2021-03-11,CDLLONGLINE,-100
2021-03-11,CDLBELTHOLD,-100
2021-03-11,CDLMATCHINGLOW,100
2021-03-15,CDLMARUBOZU,-100
2021-03-15,CDLLONGLINE,-100
2021-03-15,CDLBELTHOLD,-100
2021-03-15,CDLMATCHINGLOW,100
2021-03-15,CDLCLOSINGMARUBOZU,-100
2021-03-16,CDLHIKKAKE,100
2021-03-17,CDLMARUBOZU,-100
2021-03-17,CDLBELTHOLD,-100
2021-03-17,CDLLONGLINE,-100
2021-03-17,CDLCLOSINGMARUBOZU,-100
2021-03-18,CDLDOJI,100
2021-03-18,CDLSPINNINGTOP,100
2021-03-18,CDLHIGHWAVE,100
2021-03-18,CDLHARAMICROSS,100
2021-03-18,CDLHARAMI,100
2021-03-18,CDLLONGLEGGEDDOJI,100
