Date,Pattern,Signal
2020-03-16,CDLENGULFING,-100
2020-03-17,CDL3OUTSIDE,-100
2020-03-19,CDLHIKKAKE,100
2020-03-23,CDLSHORTLINE,-100
2020-03-24,CDLLONGLINE,-100
2020-03-24,CDLHIKKAKE,-100
2020-03-24,CDLBELTHOLD,-100
2020-03-25,CDLHOMINGPIGEON,100
2020-03-25,CDLHARAMI,100
2020-03-26,CDLSHORTLINE,-100
2020-03-27,CDLHIKKAKEMOD,100
2020-03-27,CDLHIKKAKE,100
2020-03-27,CDLHAMMER,100
2020-03-30,CDLCLOSINGMARUBOZU,100
2020-03-30,CDLHIKKAKE,200
2020-03-30,CDLHIKKAKEMOD,200
2020-03-31,CDLHIGHWAVE,-100
2020-03-31,CDLLONGLEGGEDDOJI,100
2020-03-31,CDLRICKSHAWMAN,100
2020-03-31,CDLSPINNINGTOP,-100
2020-03-31,CDLDOJISTAR,-100
2020-03-31,CDLDOJI,100
2020-04-07,CDLSPINNINGTOP,-100
2020-04-08,CDLSHORTLINE,-100
2020-04-08,CDLHIKKAKE,100
2020-04-09,CDLBELTHOLD,-100
2020-04-09,CDLLONGLINE,-100
2020-04-10,CDLSHORTLINE,100
2020-04-13,CDLSHORTLINE,-100
2020-04-15,CDLSHORTLINE,-100
2020-04-16,CDLHIKKAKE,100
2020-04-16,CDLLONGLEGGEDDOJI,100
2020-04-16,CDLHIGHWAVE,-100
2020-04-16,CDLDOJI,100
2020-04-16,CDLSPINNINGTOP,-100
2020-04-17,CDLSHORTLINE,-100
2020-04-20,CDLSHORTLINE,100
2020-04-23,CDLCLOSINGMARUBOZU,100
2020-04-27,CDLBELTHOLD,100
2020-04-27,CDLHIKKAKE,-100
2020-04-29,CDLHIKKAKE,-100
2020-04-29,CDLSHORTLINE,100
2020-04-30,CDLLONGLEGGEDDOJI,100
2020-04-30,CDLSHOOTINGSTAR,-100
2020-04-30,CDLSPINNINGTOP,100
2020-04-30,CDLGRAVESTONEDOJI,100
2020-04-30,CDLDOJI,100
2020-04-30,CDLHIGHWAVE,100
2020-05-04,CDLHIKKAKE,-200
2020-05-04,CDLBELTHOLD,-100
2020-05-05,CDLHARAMI,100
2020-05-05,CDLHOMINGPIGEON,100
2020-05-06,CDLLONGLEGGEDDOJI,100
2020-05-06,CDLTAKURI,100
2020-05-06,CDLDOJI,100
2020-05-06,CDLDRAGONFLYDOJI,100
2020-05-06,CDLHIKKAKE,100
2020-05-07,CDLHIGHWAVE,100
2020-05-07,CDLSPINNINGTOP,100
2020-05-07,CDLLONGLEGGEDDOJI,100
2020-05-07,CDLDOJI,100
2020-05-08,CDLLONGLEGGEDDOJI,100
2020-05-08,CDLRICKSHAWMAN,100
2020-05-08,CDLDOJI,100
2020-05-08,CDLSPINNINGTOP,-100
2020-05-08,CDLHIGHWAVE,-100
2020-05-11,CDLHAMMER,100
2020-05-12,CDLLONGLINE,-100
2020-05-12,CDLBELTHOLD,-100
2020-05-12,CDLMARUBOZU,-100
2020-05-12,CDLCLOSINGMARUBOZU,-100
2020-05-13,CDLCLOSINGMARUBOZU,100
2020-05-14,CDLBELTHOLD,-100
2020-05-15,CDLHIKKAKE,-100
2020-05-15,CDLLONGLINE,100
2020-05-18,CDLHIKKAKE,-200
2020-05-18,CDLBELTHOLD,-100
2020-05-19,CDLTAKURI,100
2020-05-19,CDLHANGINGMAN,-100
2020-05-19,CDLDRAGONFLYDOJI,100
2020-05-19,CDLLONGLEGGEDDOJI,100
2020-05-19,CDLDOJI,100
2020-05-20,CDLBELTHOLD,100
2020-05-20,CDLLONGLINE,100
2020-05-21,CDLBELTHOLD,100
2020-05-21,CDLLONGLINE,100
2020-05-21,CDLMARUBOZU,100
2020-05-21,CDLCLOSINGMARUBOZU,100
2020-05-22,CDLCLOSINGMARUBOZU,100
2020-05-25,CDLDARKCLOUDCOVER,-100
2020-05-27,CDLINVERTEDHAMMER,100
2020-05-28,CDLCLOSINGMARUBOZU,-100
2020-05-28,CDLBELTHOLD,-100
2020-05-28,CDLMARUBOZU,-100
2020-05-28,CDLLONGLINE,-100
2020-05-29,CDLHOMINGPIGEON,100
2020-05-29,CDLHAMMER,100
2020-05-29,CDLHARAMI,100
2020-06-01,CDLBREAKAWAY,100
2020-06-01,CDLSHOOTINGSTAR,-100
2020-06-01,CDL3INSIDE,100
2020-06-01,CDLUNIQUE3RIVER,100
2020-06-03,CDLHIKKAKE,100
2020-06-03,CDLDOJI,100
2020-06-03,CDLSPINNINGTOP,100
2020-06-03,CDLLONGLEGGEDDOJI,100
2020-06-03,CDLRICKSHAWMAN,100
2020-06-03,CDLHIGHWAVE,100
2020-06-04,CDLSHORTLINE,-100
2020-06-05,CDLSHORTLINE,100
2020-06-05,CDLHIKKAKE,-100
2020-06-08,CDLSHOOTINGSTAR,-100
2020-06-09,CDLCLOSINGMARUBOZU,-100
2020-06-09,CDLLONGLINE,-100
2020-06-10,CDLHAMMER,100
2020-06-10,CDLINNECK,-100
2020-06-10,CDLONNECK,-100
2020-06-11,CDLBELTHOLD,-100
2020-06-12,CDLTHRUSTING,-100
2020-06-12,CDLLONGLINE,100
2020-06-12,CDLBELTHOLD,100
2020-06-15,CDLLONGLINE,-100
