Date,Pattern,Signal
2021-03-25,CDLENGULFING,100
2021-03-26,CDL3OUTSIDE,100
2021-03-29,CDLHIKKAKE,-100
2021-04-09,CDLCLOSINGMARUBOZU,100
2021-04-12,CDLSPINNINGTOP,100
2021-04-13,CDLLONGLINE,-100
2021-04-13,CDLCLOSINGMARUBOZU,-100
2021-04-13,CDLEVENINGSTAR,-100
2021-04-14,CDLTHRUSTING,-100
2021-04-15,CDLSPINNINGTOP,100
2021-04-16,CDLHIKKAKE,-100
2021-04-19,CDLLONGLINE,-100
2021-04-19,CDLHIKKAKE,-200
2021-04-20,CDLHAMMER,100
2021-04-20,CDLSHORTLINE,-100
2021-04-21,CDLCLOSINGMARUBOZU,-100
2021-04-21,CDLLONGLINE,-100
2021-04-22,CDLHARAMICROSS,100
2021-04-22,CDLRICKSHAWMAN,100
2021-04-22,CDLSPINNINGTOP,-100
2021-04-22,CDLDOJI,100
2021-04-22,CDLHOMINGPIGEON,100
2021-04-22,CDLHARAMI,100
2021-04-22,CDLHIGHWAVE,-100
2021-04-22,CDLLONGLEGGEDDOJI,100
2021-04-23,CDLSHORTLINE,-100
2021-04-27,CDLHARAMICROSS,-100
2021-04-27,CDLSHORTLINE,100
2021-04-27,CDLRICKSHAWMAN,100
2021-04-27,CDLSPINNINGTOP,100
2021-04-27,CDLHARAMI,-100
2021-04-27,CDLLONGLEGGEDDOJI,100
2021-04-27,CDLDOJI,100
2021-04-28,CDLDOJI,100
2021-04-28,CDLLONGLEGGEDDOJI,100
2021-04-28,CDLINVERTEDHAMMER,100
2021-04-28,CDLGRAVESTONEDOJI,100
2021-04-28,CDLSHORTLINE,-100
2021-04-29,CDLSHORTLINE,100
2021-04-29,CDLENGULFING,100
2021-05-05,CDLBELTHOLD,100
2021-05-06,CDLBELTHOLD,100
2021-05-06,CDLLONGLINE,100
2021-05-07,CDLLONGLINE,100
2021-05-07,CDLBELTHOLD,100
2021-05-10,CDLHARAMI,-100
2021-05-11,CDLLONGLINE,-100
2021-05-11,CDL3INSIDE,-100
2021-05-12,CDLHANGINGMAN,-100
2021-05-12,CDLLONGLEGGEDDOJI,100
2021-05-12,CDLDRAGONFLYDOJI,100
2021-05-12,CDLTAKURI,100
2021-05-12,CDLDOJI,100
2021-05-13,CDLCLOSINGMARUBOZU,100
2021-05-13,CDLLONGLINE,100
2021-05-18,CDLSPINNINGTOP,100
2021-05-19,CDLENGULFING,-100
2021-05-21,CDLSHORTLINE,-100
