Date,Pattern,Signal
2019-12-30,CDLHIKKAKE,100
2020-01-02,CDLENGULFING,100
2020-01-06,CDLLONGLEGGEDDOJI,100
2020-01-06,CDLDOJI,100
2020-01-06,CDLDRAGONFLYDOJI,100
2020-01-07,CDLSHORTLINE,-100
2020-01-08,CDLSHORTLINE,-100
2020-01-09,CDLTAKURI,100
2020-01-09,CDLDOJI,100
2020-01-09,CDLLONGLEGGEDDOJI,100
2020-01-09,CDLDRAGONFLYDOJI,100
2020-01-09,CDLSHORTLINE,100
2020-01-09,CDLHAMMER,100
2020-01-09,CDLHIKKAKE,100
2020-01-10,CDLSHORTLINE,-100
2020-01-13,CDLHAMMER,100
2020-01-14,CDLBELTHOLD,100
2020-01-14,CDLENGULFING,100
2020-01-15,CDL3OUTSIDE,100
2020-01-16,CDLSHORTLINE,-100
2020-01-16,CDL2CROWS,-100
2020-01-17,CDLMARUBOZU,-100
2020-01-17,CDLLONGLINE,-100
2020-01-17,CDLBELTHOLD,-100
2020-01-17,CDLCLOSINGMARUBOZU,-100
2020-01-20,CDLLONGLEGGEDDOJI,100
2020-01-20,CDLSPINNINGTOP,100
2020-01-20,CDLHIGHWAVE,100
2020-01-20,CDLDOJISTAR,100
2020-01-20,CDLDOJI,100
2020-01-20,CDLGRAVESTONEDOJI,100
2020-01-20,CDLINVERTEDHAMMER,100
2020-01-20,CDLHIKKAKE,100
2020-01-20,CDLONNECK,-100
2020-01-20,CDLRICKSHAWMAN,100
2020-01-30,CDLSEPARATINGLINES,-100
2020-01-30,CDLLONGLINE,-100
2020-01-30,CDLBELTHOLD,-100
2020-01-31,CDLTHRUSTING,-100
2020-01-31,CDLHAMMER,100
2020-02-03,CDLBELTHOLD,-100
2020-02-04,CDLMARUBOZU,100
2020-02-04,CDLLONGLINE,100
2020-02-04,CDLBELTHOLD,100
2020-02-04,CDLCLOSINGMARUBOZU,100
2020-02-05,CDLMARUBOZU,100
2020-02-05,CDLLONGLINE,100
2020-02-05,CDLBELTHOLD,100
2020-02-05,CDLCLOSINGMARUBOZU,100
2020-02-06,CDLLONGLEGGEDDOJI,100
2020-02-06,CDLDRAGONFLYDOJI,100
2020-02-06,CDLHARAMI,-100
2020-02-06,CDLHANGINGMAN,-100
2020-02-06,CDLDOJI,100
2020-02-06,CDLHARAMICROSS,-100
2020-02-06,CDLTAKURI,100
2020-02-07,CDLSHORTLINE,-100
2020-02-07,CDLHIKKAKE,100
2020-02-11,CDLBELTHOLD,100
2020-02-11,CDLHIKKAKE,200
2020-02-12,CDLHARAMI,-100
2020-02-13,CDLHIKKAKE,-100
2020-02-17,CDLLONGLEGGEDDOJI,100
2020-02-17,CDLGRAVESTONEDOJI,100
2020-02-17,CDLINVERTEDHAMMER,100
2020-02-17,CDLDOJI,100
2020-02-18,CDLMATCHINGLOW,100
