Date,Pattern,Signal
2016-12-27,CDLDOJI,100
2016-12-27,CDLGAPSIDESIDEWHITE,100
2016-12-28,CDLLONGLEGGEDDOJI,100
2016-12-28,CDLRICKSHAWMAN,100
2016-12-28,CDLDOJI,100
2016-12-29,CDLTRISTAR,100
2016-12-29,CDLDOJI,100
2016-12-30,CDLDOJI,100
2017-01-03,CDLDOJI,100
2017-01-03,CDLGAPSIDESIDEWHITE,100
2017-01-04,CDLLONGLEGGEDDOJI,100
2017-01-04,CDLDOJI,100
2017-01-04,CDLGRAVESTONEDOJI,100
2017-01-05,CDLDRAGONFLYDOJI,100
2017-01-05,CDLTAKURI,100
2017-01-05,CDLLONGLEGGEDDOJI,100
2017-01-05,CDLDOJI,100
2017-01-06,CDLDOJI,100
2017-01-06,CDLGAPSIDESIDEWHITE,-100
2017-01-09,CDLDOJI,100
2017-01-10,CDLDOJI,100
2017-01-11,CDLDOJI,100
2017-01-12,CDLDOJI,100
2017-01-13,CDLGAPSIDESIDEWHITE,-100
2017-01-13,CDLDOJI,100
2017-01-16,CDLDOJI,100
2017-01-17,CDLDOJI,100
2017-01-18,CDLGAPSIDESIDEWHITE,100
2017-01-18,CDLDOJI,100
2017-01-19,CDLDOJI,100
2017-01-20,CDLDOJI,100
2017-01-20,CDLLONGLEGGEDDOJI,100
2017-01-23,CDLDOJI,100
2017-01-24,CDLGAPSIDESIDEWHITE,100
2017-01-24,CDLDOJI,100
2017-02-02,CDLDOJI,100
2017-02-03,CDLDOJI,100
2017-02-06,CDLDOJI,100
2017-02-07,CDLDOJI,100
2017-02-08,CDLDOJI,100
2017-02-09,CDLDOJI,100
2017-02-10,CDLDOJI,100
2017-02-13,CDLDOJI,100
2017-02-14,CDLDOJI,100
2017-02-15,CDLDOJI,100
2017-02-16,CDLDOJI,100
2017-02-17,CDLDOJI,100
2017-02-20,CDLDOJI,100
2017-02-21,CDLDOJI,100
2017-02-22,CDLGAPSIDESIDEWHITE,100
2017-02-22,CDLDOJI,100
2017-02-23,CDLDOJI,100
2017-02-24,CDLDOJI,100
2017-03-01,CDLDOJI,100
2017-03-02,CDLGAPSIDESIDEWHITE,-100
2017-03-02,CDLDOJI,100
2017-03-03,CDLDOJI,100
2017-03-06,CDLDOJI,100
2017-03-06,CDLLONGLEGGEDDOJI,100
2017-03-07,CDLDOJI,100
2017-03-07,CDLLONGLEGGEDDOJI,100
2017-03-07,CDLTRISTAR,-100
2017-03-08,CDLGAPSIDESIDEWHITE,-100
2017-03-08,CDLGRAVESTONEDOJI,100
2017-03-08,CDLDOJI,100
2017-03-08,CDLLONGLEGGEDDOJI,100
2017-03-09,CDLTAKURI,100
2017-03-09,CDLLONGLEGGEDDOJI,100
2017-03-09,CDLDRAGONFLYDOJI,100
2017-03-09,CDLDOJI,100
2017-03-10,CDLDOJI,100
2017-03-13,CDLDOJI,100
2017-03-13,CDLGAPSIDESIDEWHITE,100
2017-03-14,CDLDOJI,100
2017-03-15,CDLDOJI,100
2017-03-15,CDLDRAGONFLYDOJI,100
2017-03-15,CDLTAKURI,100
2017-03-15,CDLLONGLEGGEDDOJI,100
2017-03-16,CDLDOJI,100
2017-03-16,CDLLONGLEGGEDDOJI,100
2017-03-17,CDLLONGLEGGEDDOJI,100
2017-03-17,CDLDOJI,100
2017-03-20,CDLDRAGONFLYDOJI,100
2017-03-20,CDLDOJI,100
