Date,Pattern,Signal
2023-03-30,CDLENGULFING,100
2023-04-06,CDLHIKKAKE,-100
2023-04-06,CDLENGULFING,-100
2023-04-07,CDL3OUTSIDE,-100
2023-04-07,CDLHIKKAKE,-200
2023-04-13,CDLHARAMI,-100
2023-04-14,CDLSHORTLINE,-100
2023-04-14,CDLHIKKAKE,100
2023-04-14,CDL3INSIDE,-100
2023-04-17,CDLBELTHOLD,100
2023-04-17,CDLLONGLINE,100
2023-04-17,CDLMARUBOZU,100
2023-04-17,CDLCLOSINGMARUBOZU,100
2023-04-18,CDLHIKKAKE,200
2023-04-18,CDLCLOSINGMARUBOZU,100
2023-04-20,CDLLONGLINE,-100
2023-04-25,CDLBELTHOLD,-100
2023-04-25,CDLENGULFING,-100
2023-04-27,CDLSHORTLINE,-100
2023-04-28,CDLBELTHOLD,100
2023-04-28,CDLHIKKAKE,-100
2023-05-02,CDLSPINNINGTOP,100
2023-05-02,CDLHARAMI,-100
2023-05-02,CDLHARAMICROSS,-100
2023-05-02,CDLHIGHWAVE,100
2023-05-02,CDLDOJI,100
2023-05-02,CDLLONGLEGGEDDOJI,100
2023-05-02,CDLRICKSHAWMAN,100
2023-05-03,CDLSHORTLINE,100
2023-05-03,CDLLONGLEGGEDDOJI,100
2023-05-03,CDLINVERTEDHAMMER,100
2023-05-03,CDLHIKKAKE,100
2023-05-03,CDLGRAVESTONEDOJI,100
2023-05-03,CDLDOJI,100
2023-05-04,CDLGRAVESTONEDOJI,100
2023-05-04,CDLSPINNINGTOP,100
2023-05-04,CDLRICKSHAWMAN,100
2023-05-04,CDLHIGHWAVE,100
2023-05-04,CDLSHOOTINGSTAR,-100
2023-05-04,CDLDOJI,100
2023-05-04,CDLLONGLEGGEDDOJI,100
2023-05-04,CDLTRISTAR,100
2023-05-04,CDLSHORTLINE,100
2023-05-05,CDLSHORTLINE,-100
2023-05-05,CDLENGULFING,-100
2023-05-08,CDLLONGLEGGEDDOJI,100
2023-05-08,CDLDOJI,100
2023-05-08,CDLSHORTLINE,-100
2023-05-09,CDLBELTHOLD,-100
2023-05-09,CDLMARUBOZU,-100
2023-05-09,CDLCLOSINGMARUBOZU,-100
2023-05-09,CDLLONGLINE,-100
2023-05-10,CDLSPINNINGTOP,-100
2023-05-12,CDLLONGLINE,100
2023-05-15,CDLBELTHOLD,-100
2023-05-15,CDLHIKKAKE,100
2023-05-16,CDLSHORTLINE,100
2023-05-17,CDLBELTHOLD,100
2023-05-17,CDLLONGLINE,100
2023-05-17,CDLHIKKAKE,-100
2023-05-19,CDLMATCHINGLOW,100
2023-05-24,CDLHAMMER,100
2023-05-24,CDLHIKKAKE,100
2023-05-25,CDLSHORTLINE,-100
2023-05-30,CDLBELTHOLD,100
2023-05-31,CDLBELTHOLD,100
2023-06-02,CDLTASUKIGAP,100
2023-06-05,CDLSPINNINGTOP,-100
2023-06-06,CDLMATCHINGLOW,100
2023-06-06,CDLHAMMER,100
2023-06-07,CDLSHORTLINE,-100
2023-06-08,CDLMARUBOZU,100
2023-06-08,CDLBELTHOLD,100
2023-06-08,CDLLONGLINE,100
2023-06-08,CDLCLOSINGMARUBOZU,100
2023-06-09,CDLHIGHWAVE,-100
2023-06-09,CDLSPINNINGTOP,-100
2023-06-12,CDLMATCHINGLOW,100
2023-06-14,CDLBELTHOLD,-100
2023-06-14,CDLLONGLINE,-100
2023-06-14,CDLCLOSINGMARUBOZU,-100
2023-06-14,CDLMARUBOZU,-100
2023-06-15,CDLBELTHOLD,-100
2023-06-15,CDLHIKKAKE,100
2023-06-15,CDLLONGLINE,-100
2023-06-20,CDLSPINNINGTOP,-100
2023-06-21,CDLSHORTLINE,-100
2023-06-26,CDLBELTHOLD,-100
2023-06-26,CDLLONGLINE,-100
2023-06-27,CDLCLOSINGMARUBOZU,-100
2023-06-28,CDLLONGLEGGEDDOJI,100
2023-06-28,CDLSPINNINGTOP,100
2023-06-28,CDLHARAMICROSS,100
2023-06-28,CDLTAKURI,100
2023-06-28,CDLHIGHWAVE,100
2023-06-28,CDLDRAGONFLYDOJI,100
2023-06-28,CDLHARAMI,100
2023-06-28,CDLDOJI,100
2023-06-29,CDLSHORTLINE,-100
2023-06-29,CDLDOJI,100
2023-06-29,CDLGRAVESTONEDOJI,100
2023-06-29,CDLLONGLEGGEDDOJI,100
2023-07-03,CDLBELTHOLD,100
2023-07-03,CDLLONGLINE,100
