Date,Pattern,Signal
2021-05-03,CDLSHORTLINE,-100
2021-05-04,CDLBELTHOLD,-100
2021-05-04,CDLLONGLINE,-100
2021-05-05,CDLHARAMI,100
2021-05-05,CDLHOMINGPIGEON,100
2021-05-06,CDLSHORTLINE,100
2021-05-06,CDLUNIQUE3RIVER,100
2021-05-07,CDLCLOSINGMARUBOZU,100
2021-05-07,CDLLONGLINE,100
2021-05-11,CDLBELTHOLD,-100
2021-05-11,CDLLONGLINE,-100
2021-05-12,CDLBELTHOLD,-100
2021-05-13,CDLSHORTLINE,100
2021-05-14,CDLHIKKAKE,-100
2021-05-14,CDLHANGINGMAN,-100
2021-05-17,CDLHIKKAKE,-200
2021-05-18,CDLBELTHOLD,100
2021-05-18,CDLLONGLINE,100
2021-05-19,CDLHARAMICROSS,-100
2021-05-19,CDLDOJI,100
2021-05-19,CDLSHORTLINE,-100
2021-05-19,CDLHARAMI,-100
2021-05-20,CDLHIKKAKE,100
2021-05-20,CDLHAMMER,100
2021-05-21,CDLINVERTEDHAMMER,100
2021-05-24,CDLDOJI,100
2021-05-24,CDLSHORTLINE,100
2021-05-25,CDLDOJI,100
2021-05-25,CDLSHORTLINE,100
2021-05-26,CDLDOJI,100
2021-05-26,CDLSHORTLINE,100
2021-05-27,CDLDOJI,100
2021-05-27,CDLSHORTLINE,100
2021-05-28,CDLSHORTLINE,100
2021-05-28,CDLDOJI,100
2021-05-31,CDLSHORTLINE,100
2021-05-31,CDLDOJI,100
2021-06-01,CDLSHORTLINE,100
2021-06-01,CDLDOJI,100
2021-06-02,CDLSHORTLINE,100
2021-06-02,CDLDOJI,100
2021-06-03,CDLSHORTLINE,100
2021-06-03,CDLDOJI,100
2021-06-04,CDLDOJI,100
2021-06-04,CDLSHORTLINE,100
2021-06-07,CDLDOJI,100
2021-06-08,CDLDOJI,100
2021-06-08,CDLLONGLEGGEDDOJI,100
2021-06-11,CDLLONGLEGGEDDOJI,100
2021-06-11,CDLSPINNINGTOP,100
2021-06-11,CDLDOJI,100
2021-06-11,CDLHIGHWAVE,100
2021-06-11,CDLDOJISTAR,100
2021-06-11,CDLRICKSHAWMAN,100
2021-06-15,CDLMORNINGDOJISTAR,100
2021-06-15,CDLLONGLINE,100
2021-06-15,CDLCLOSINGMARUBOZU,100
2021-06-15,CDLBELTHOLD,100
2021-06-15,CDLMORNINGSTAR,100
2021-06-15,CDLMARUBOZU,100
2021-06-16,CDLHIGHWAVE,100
2021-06-16,CDLLONGLEGGEDDOJI,100
2021-06-16,CDLDOJI,100
2021-06-16,CDLHARAMICROSS,-100
2021-06-16,CDLRICKSHAWMAN,100
2021-06-16,CDLHARAMI,-100
2021-06-16,CDLSPINNINGTOP,100
2021-06-17,CDLHANGINGMAN,-100
2021-06-18,CDLDOJI,100
2021-06-18,CDLSHORTLINE,-100
2021-06-18,CDLHANGINGMAN,-100
2021-06-18,CDLTAKURI,100
2021-06-18,CDLLONGLEGGEDDOJI,100
2021-06-18,CDLDRAGONFLYDOJI,100
2021-06-21,CDLBELTHOLD,-100
2021-06-21,CDLHIKKAKE,100
2021-06-21,CDLLONGLINE,-100
2021-06-21,CDLMARUBOZU,-100
2021-06-21,CDLCLOSINGMARUBOZU,-100
2021-06-22,CDLBELTHOLD,100
2021-06-23,CDLDOJI,100
2021-06-23,CDLSHOOTINGSTAR,-100
2021-06-23,CDLLONGLEGGEDDOJI,100
2021-06-23,CDLGRAVESTONEDOJI,100
2021-06-23,CDLDOJISTAR,-100
2021-06-24,CDLHIKKAKE,200
2021-06-25,CDLLONGLEGGEDDOJI,100
2021-06-25,CDLHARAMI,-100
2021-06-25,CDLTAKURI,100
2021-06-25,CDLHARAMICROSS,-100
2021-06-25,CDLDOJI,100
2021-06-25,CDLDRAGONFLYDOJI,100
2021-06-25,CDLSHORTLINE,-100
2021-06-28,CDLHIKKAKE,-100
